"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude";"even_odd"
"RT @HalleyBorderCol: MUST READ: They found NOTHING and yet kept the wire tap in place. 
Illegal. Will justice be served?
https://t.co/FmgcD…";FALSE;0;NA;2017-03-04 23:56:17;FALSE;NA;"838176300976193538";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"DreamWeaver61";72;TRUE;FALSE;NA;NA;TRUE
"RT @SheriffClarke: Obama is sleazy. Don't believe a word. Lied on shovel ready jobs, Iran deal &amp; Obamacare, if you like your doctor. https:…";FALSE;0;NA;2017-03-04 23:56:17;FALSE;NA;"838176300816863232";NA;"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>";"Boylan1947P";246;TRUE;FALSE;NA;NA;TRUE
"RT @assbott: it is with a heavy heart I must inform you that @realDonaldTrump tried to wiretap my robotic butthole";FALSE;0;NA;2017-03-04 23:56:17;FALSE;NA;"838176300699381760";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"sistercrisco";31;TRUE;FALSE;NA;NA;TRUE
"RT @brhodes: No President can order a wiretap. Those restrictions were put in place to protect citizens from people like you. https://t.co/…";FALSE;0;NA;2017-03-04 23:56:17;FALSE;NA;"838176300183465984";NA;"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>";"laz";42998;TRUE;FALSE;NA;NA;TRUE
"RT @PalmerReport: Donald Trump appears to have illegally leaked classified info in his Trump Tower wiretap tweets https://t.co/xErLoJCAjm #…";FALSE;0;NA;2017-03-04 23:56:17;FALSE;NA;"838176299701121026";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"SarcasticBurke";170;TRUE;FALSE;NA;NA;TRUE
"RT @MarkDice: I'm sure the front man of an organized criminal empire would never order a wiretap on the man's phone who could bring him dow…";FALSE;0;NA;2017-03-04 23:56:16;FALSE;NA;"838176299331903488";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"sassyandcowgirl";379;TRUE;FALSE;NA;NA;TRUE
"RT @ABlinken: Trump not smart to spotlight wiretap. Requires warrant which requires probable cause crime committed or target foreign agent.…";FALSE;0;NA;2017-03-04 23:56:16;FALSE;NA;"838176296177917952";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"_political_p";157;TRUE;FALSE;NA;NA;TRUE
"RT @FightNowAmerica: Just because FISA approves a wiretap doesn't mean it's justified. Not when the intelligence community is in Obama's po…";FALSE;0;NA;2017-03-04 23:56:16;FALSE;NA;"838176295477522432";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"ElaineD9999999";35;TRUE;FALSE;NA;NA;TRUE
"RT @NolteNC: When do we stop pretending that the same Barry who weaponized the IRS against everyday Americans would be above a Trump wireta…";FALSE;0;NA;2017-03-04 23:56:16;FALSE;NA;"838176295271841792";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"lori_konecki";775;TRUE;FALSE;NA;NA;TRUE
"RT @RealMuckmaker: How dumb is Donald Trump? I’ve known since November about Trump Tower wiretap over Russia https://t.co/23DpfnOYz5 via @P…";FALSE;0;NA;2017-03-04 23:56:15;FALSE;NA;"838176294051393536";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"KnightSwan1";53;TRUE;FALSE;NA;NA;TRUE
"RT @Doranimated: Officials who routinely leak classified info against Trump leak that there was no classified wiretap of Trump. https://t.c…";FALSE;0;NA;2017-03-04 23:56:15;FALSE;NA;"838176293917057024";NA;"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>";"therealfunyfarm";29;TRUE;FALSE;NA;NA;TRUE
"RT @DavidCornDC: The president doesn't wiretap. The FBI and NSA do. And the DOJ processes surveillance requests for FISA court. https://t.c…";FALSE;0;NA;2017-03-04 23:56:15;FALSE;NA;"838176293283840004";NA;"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>";"birdiealways";4887;TRUE;FALSE;NA;NA;TRUE
"RT @Stonekettle: Warrantless wiretap of brown people: Hey, if you're not doing anything wrong you've got nothing to fear

FISA Warrant: THI…";FALSE;0;NA;2017-03-04 23:56:15;FALSE;NA;"838176292298162176";NA;"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>";"jason_kottler";221;TRUE;FALSE;NA;NA;TRUE
"RT @WayneDupreeShow: Liberals are saying Obama didn't have authority to wiretap @realDonaldTrump 

He also didn't have authority to pay Ira…";FALSE;0;NA;2017-03-04 23:56:15;FALSE;NA;"838176292214358016";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"staggerlee420";1255;TRUE;FALSE;NA;NA;TRUE
"RT @RepublicReturn: God Bless America #March4Trump #TrumpTower #SpiritofAmericaRally #WireTap FISA https://t.co/8D5gANIjlD";FALSE;0;NA;2017-03-04 23:56:14;FALSE;NA;"838176290700152832";NA;"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>";"RickAndKim30yrs";117;TRUE;FALSE;NA;NA;TRUE
